model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_weighted_f1_mean,cv_weighted_f1_std
Random Forest,0.9931818181818182,0.005269101417895276,0.9931460226466413,0.005309654944268124,0.9931460226466413,0.005309654944268124
Extra Trees,0.9926136363636363,0.00385359658132116,0.9925812126715016,0.003898285292801883,0.9925812126715016,0.003898285292801883
Gradient Boosting,0.9869318181818182,0.0034090909090909245,0.9868609061859882,0.0035748552257011713,0.9868609061859882,0.0035748552257011713
Decision Tree,0.9852272727272728,0.006818181818181797,0.9852225899230891,0.006793902027843823,0.9852225899230891,0.006793902027843823
SVM,0.9789772727272726,0.010258789821174896,0.9787750970157895,0.010612207032349425,0.9787750970157895,0.010612207032349425
Logistic Regression,0.9681818181818181,0.006577180058403534,0.9678236006626216,0.006765232166249332,0.9678236006626216,0.006765232166249332
KNN,0.965340909090909,0.012106406677649138,0.9650112202843848,0.012438852654645446,0.9650112202843848,0.012438852654645446
