feature,importance_mean,importance_std
humidity,0.26373639350778516,0.014164713890167303
rainfall,0.25277647365640477,0.013500843181381271
n,0.2203634109488985,0.014703936553913262
k,0.21642569300906095,0.013456268371481471
p,0.18645702901154484,0.01963296275815239
ph,0.01082798628392942,0.0038971502420415915
temperature,0.00960225433826865,0.003465034949520785
