model,cv_accuracy_mean,cv_accuracy_std,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_weighted_f1_mean,cv_macro_weighted_f1_std,test_accuracy,test_macro_f1,test_weighted_f1
Random Forest,0.99375,0.0033130408493439313,0.9937306920376493,0.003194323561720168,0.9937306920376493,0.003194323561720168,0.9931818181818182,0.9926374055074331,0.9931754816901672
ExtraTrees,0.9920454545454545,0.004175266607016763,0.9919074695692656,0.004323636803410633,0.9919074695692656,0.004323636803410633,0.9863636363636363,0.9849772111357478,0.9865163525498891
Gradient Boosting,0.9903409090909092,0.0013917555356722454,0.9902174271810991,0.0014679953279142803,0.9902174271810991,0.0014679953279142803,0.9818181818181818,0.981868945715869,0.9818514668069125
Decision Tree,0.9852272727272726,0.004545454545454536,0.9849500195122337,0.0047672869238575884,0.9849500195122337,0.0047672869238575884,0.9863636363636363,0.9864168319981386,0.9863152866630287
SVM,0.9846590909090909,0.00611950546265283,0.9845370996121965,0.006044819591895677,0.9845370996121965,0.006044819591895677,0.9681818181818181,0.966552400329514,0.9680271341017991
KNN,0.975,0.005508727110700368,0.9749691261003518,0.005478530827735461,0.9749691261003518,0.005478530827735461,0.9568181818181818,0.9546143482813629,0.9567492608232794
Logistic Regression,0.9698863636363637,0.004251883394061335,0.9696472729436717,0.004656482401656197,0.9696472729436717,0.004656482401656197,0.9636363636363636,0.9635587438265627,0.9635115059268677
